scenario,mode,cell,source,duration_s,time,feedback,mix,color,motion,events,expect_tail
pedal_multidelay_audition_digi_reference,DIGI,reference,pluck_train,4.0,0.45,0.35,0.50,0.78,0.00,,0
pedal_multidelay_audition_digi_character,DIGI,character,transient_train,4.0,0.30,0.82,0.72,1.00,0.00,,0
pedal_multidelay_audition_digi_stress,DIGI,stress,sine,4.0,0.05,0.92,0.80,0.95,0.00,1.000:SLOT:TIME:0.95|2.000:SLOT:TIME:0.10|3.000:SLOT:TIME:0.85,0
pedal_multidelay_audition_tape_reference,TAPE,reference,pluck_train,4.5,0.42,0.45,0.55,0.20,0.12,,0
pedal_multidelay_audition_tape_character,TAPE,character,dual_tone,4.5,0.50,0.70,0.70,0.75,0.65,,0
pedal_multidelay_audition_tape_stress,TAPE,stress,sine,4.5,0.15,0.95,0.85,1.00,1.00,1.200:SLOT:TIME:0.85|2.400:SLOT:TIME:0.08|3.600:SLOT:TIME:0.75,0
pedal_multidelay_audition_mod_reference,MOD,reference,dual_tone,4.0,0.08,0.70,0.50,0.45,0.18,,0
pedal_multidelay_audition_mod_character,MOD,character,pluck_train,4.0,0.42,0.50,0.88,0.70,0.45,,0
pedal_multidelay_audition_mod_stress,MOD,stress,sine,4.0,0.10,1.00,1.00,1.00,1.00,,0
pedal_multidelay_audition_rev_reference,REV,reference,transient_train,4.5,0.25,0.25,0.70,1.00,0.75,,0
pedal_multidelay_audition_rev_character,REV,character,pluck_train,5.0,0.65,0.55,0.80,1.00,0.90,,0
pedal_multidelay_audition_rev_stress,REV,stress,transient_train,4.5,0.05,1.00,1.00,1.00,0.00,1.500:SLOT:TIME:0.90|3.000:SLOT:TIME:0.08,0
pedal_multidelay_audition_freeze_reference,FREEZE,reference,single_pluck,4.5,0.38,0.96,0.75,0.18,0.05,0.050:FREEZE:CAPTURE,1
pedal_multidelay_audition_freeze_character,FREEZE,character,single_pluck,5.0,0.45,0.98,0.85,0.65,0.70,0.050:FREEZE:CAPTURE|1.500:FREEZE:HOLD,1
pedal_multidelay_audition_freeze_stress,FREEZE,stress,pluck_train,5.5,0.25,1.00,0.90,0.85,1.00,0.050:FREEZE:CAPTURE|1.200:FREEZE:ACCUMULATE|2.400:FREEZE:REPLACE|3.800:FREEZE:CLEAR,0
